Trait,Source,Definition
succulence,UK_flora-explorer,Species that were labelled as ìsucculentî or exhibiting ìsucculenceî in a query of the TRY databaseís publically available data on growth form were assigned the label ìsucculentî in our database
life_form,UK_flora-explorer,Raunkiaer life-form; most likely category listed first; alternative life-forms afterwards. 
biome,UK_flora-explorer,Broad biome the species is associated with.
origin,UK_flora-explorer,"Description of origin country/region (most likely candidate for area plants where introduced from; not complete foreign distribution) as mentioned in Stace 2019, only for non-natives"
TDWG_level_1_code,UK_flora-explorer," World Geographical Scheme for Recording Plant Distributions (WGSRPD) Level 1 codes, as defined by Brummitt in 2001, consist of Europe (1), Africa (2), Asia-Temperate (3), Asia-Tropical (4), Australasia (5), Pacific (6), Northern America (7), Southern America (8), and the Antarctic (9) (Brummitt, 2001), manually determined from origin descriptions"
GB_Man_hectads_post2000,UK_flora-explorer,"Number of hectads with records of this species since 2000, from BSBI Ddb September 2020. Hectads of Great Britain (excluding Northern Ireland) and Isle of Man."
Ire_hectads_post2000,UK_flora-explorer,"Number of hectads with records of this species since 2000, from BSBI Ddb September 2020. Hectads of Ireland (including Northern Ireland)."
CI_hectads_post2000,UK_flora-explorer,"Number of hectads with records of this species since 2000, from BSBI Ddb September 2020. Hectads of the Channel Islands."
GB_Man_hectads_1987_1999,UK_flora-explorer,"Number of hectads with records of this species between 1987 and 1999, from BSBI Ddb September 2020. Hectads of Great Britain (excluding Northern Ireland) and Isle of Man."
Ire_hectads_1987_1999,UK_flora-explorer,"Number of hectads with records of this species between 1987 and 1999, from BSBI Ddb September 2020. Hectads of Ireland (including Northern Ireland)."
CI_hectads_1987_1999,UK_flora-explorer,"Number of hectads with records of this species between 1987 and 1999, from BSBI Ddb September 2020. Hectads of the Channel Islands."
GB_Man_hectads_2000_2009,UK_flora-explorer,"Number of hectads with records of this species between 2000 and 2009, from BSBI Ddb September 2020. Hectads of Great Britain (excluding Northern Ireland) and Isle of Man."
Ire_hectads_2000_2009,UK_flora-explorer,"Number of hectads with records of this species between 2000 and 2009, from BSBI Ddb September 2020. Hectads of Ireland (including Northern Ireland)."
CI_hectads_2000_2009,UK_flora-explorer,"Number of hectads with records of this species between 2000 and 2009, from BSBI Ddb September 2020. Hectads of the Channel Islands."
GB_Man_hectads_2010_2019,UK_flora-explorer,"Number of hectads with records of this species between 2010 and 2019, from BSBI Ddb September 2020. Hectads of Great Britain (excluding Northern Ireland) and Isle of Man."
Ire_hectads_2010_2019,UK_flora-explorer,"Number of hectads with records of this species between 2010 and 2019, from BSBI Ddb September 2020. Hectads of Ireland (including Northern Ireland)."
CI_hectads_2010_2019,UK_flora-explorer,"Number of hectads with records of this species between 2010 and 2019, from BSBI Ddb September 2020. Hectads of the Channel Islands."
hybrid_propensity,UK_flora-explorer,"Hybrid propensity (sensu Whitney et al., 2010)"
scaled_hybrid_propensity,UK_flora-explorer,Scaled hybrid propensity (weighted by the number of intragenic combinations within the genus)
BOLD_link1,UK_flora-explorer,"Hyperlink to BOLD database, which contains barcode sequences (rbcL, matK and ITS2), herbarium specimen and details about sample collection; each hyperlink accesses a different specimen, where possible, three individual BOLD_accessions are used per species"
BOLD_link2,UK_flora-explorer,"Hyperlink to BOLD database, which contains barcode sequences (rbcL, matK and ITS2), herbarium specimen and details about sample collection; each hyperlink accesses a different specimen, where possible, three individual BOLD_accessions are used per species"
BOLD_link3,UK_flora-explorer,"Hyperlink to BOLD database, which contains barcode sequences (rbcL, matK and ITS2), herbarium specimen and details about sample collection; each hyperlink accesses a different specimen, where possible, three individual BOLD_accessions are used per species"
GS_1C_pg,UK_flora-explorer,Haploid genome size in picograms. Smallest measurement.
GS_2C_pg,UK_flora-explorer,Diploid genome size in picograms. Smallest measurement.
GS_1C_Mbp,UK_flora-explorer,Haploid genome size in mega base pairs. Smallest measurement.
GS_2C_Mbp,UK_flora-explorer,Diploid genome size in mega base pairs. Smallest measurement.
from_BI_material,UK_flora-explorer,Binary information on provenance of material used for the genome size measurement.
data_source,UK_flora-explorer,Data source that contributed the genome size measurement in question.
sporophytic_chromosome_number,UK_flora-explorer,"Sporophytic chromosome number, determined from material from the Britain and Ireland. Summary report of available information per species. Numbers are uniformly quoted as sporophytic number irrespective of the tissue from which the count was derived. In doing this, particular care was taken in interpreting counts made on the gametophytes of apogamous ferns."
infraspecific_variation_chrom_number,UK_flora-explorer,"Where chromosome counts are available, this column will indicate if diversity in chromosome counts has been observed in our dataset. For species with ""y"" the full range of counts is available in chrom_num_BI.csv"
other_reported_sporophytic_chromosome_number,UK_flora-explorer,Chromosome count information from additional (non-British/Irish) sources.
source_of_other_chrom_num,UK_flora-explorer,"Data source(s) that contributed the chromosome counts listed in ""other_reported_sporophytic_chromosome_number""."
Leaf Relative water content (water content / water content at saturation),TRY,
Leaf Water content (molar) per leaf dry mass (WCd),TRY,
Leaf Water content saturating (molar) (WCs),TRY,
Leaf Water content total (molar) (WCt),TRY,
Leaf area index of the site (LAI),TRY,
Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,TRY,
Leaf carbon content per area,TRY,
Leaf carbon content per dry mass,TRY,
Leaf carbon/nitrogen (C/N) ratio,TRY,
Leaf carotenoid content per dry mass,TRY,
Leaf chlorophyll a content per dry mass,TRY,
Leaf chlorophyll a+b content per area,TRY,
Leaf chlorophyll a/b ratio,TRY,
Leaf chlorophyll b content per dry mass,TRY,
Leaf chlorophyll content (a+b) per dry mass,TRY,
Leaf compoundness,TRY,
Leaf dry matter content per leaf water-saturated mass (LDMC),TRY,
Leaf lamina thickness,TRY,
"Leaf lifespan (longevity, retention time, LL)",TRY,
Leaf nitrogen content per area (Narea),TRY,
Leaf nitrogen content per dry mass (Nmass),TRY,
Leaf petiole length,TRY,
Leaf phenology type,TRY,
Leaf phosphorus content per area (Parea),TRY,
Leaf phosphorus content per dry mass (Pmass),TRY,
Leaf respiration per area at leaf temperature,TRY,
Leaf respiration per dry mass,TRY,
Leaf thickness,TRY,
Leaf tissue density,TRY,
Leaf transpiration (molar) per dry mass,TRY,
Leaf transpiration rate per dry mass (daytime),TRY,
Leaf water content per leaf dry mass,TRY,
"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",TRY,
Leaf water content saturating,TRY,
Leaf water content total,TRY,
Leaf water saturation deficit,TRY,
2C DNA content,Ecological Flora,['value (¬µg)']
After ripening requirement,Ecological Flora,"['none', 'partial', 'absolute']"
Age at first flowering (years),Ecological Flora,"['<6 weeks', '6-12 weeks', '12-24 weeks', '24-52 weeks', '1-2 years', '2-5 years', '5-20 years', '>20 years']"
"Age at maturity of resprouts¬†(MatResp, V)",Ecological Flora,"['(Average age of resprouts at the first successful reproduction (yr), i.e. when most of the resprouted plants produce the first seed crop.)', 'early(< 5 yr)', 'medium(5-10 yr)', 'late(> 10 yr)']"
"Age at maturity of saplings¬†(MatSap, V).",Ecological Flora,"['(Average age of saplings at the first successful reproduction (yr), i.e. when most of the saplings produce the first seed crop, excluding saplings from plantations.)', 'early(< 5 yr)', 'medium(5-10 yr)', 'late(> 10 yr)']"
Altitude: 1. maximum recorded,Ecological Flora,['value']
Altitude: 1. minimum recorded,Ecological Flora,['value']
Altitude: 1. typical minimum,Ecological Flora,['value']
Annual precipitation,Ecological Flora,['(Calculated from New Atlas plus climatic data)']
Annual seed dispersal pattern,Ecological Flora,"['regular', 'alternate', 'mast', 'irregular']"
"Annual seed production¬†(SeedProd, V).",Ecological Flora,"['(Average number of seeds per plant produced every year (# seeds). Alternatively, one of the following categories:)', 'rarely(rarely, if ever, produces seeds in the study area.)', 'few(<= 50 seeds.)', 'medium(50-500 seeds.)', 'many(> 500 seeds.)']"
Appendages on dispersal unit,Ecological Flora,"['elaisome', 'mucilage', 'wings', 'pappus', 'plume of hairs', 'hooks']"
Auricle (description),Ecological Flora,
"Average bark thickness¬†(BarkThick, V).",Ecological Flora,"['(Average bark thickness (mm) of the main stem at breast height for trees; if available, it should include the diameter (cm) at the height that the bark was measured (as quantitative conditional, i.e., BT|Diam,). For woody plants only. Note that in many cases both BT and Diam are mean values of a population (not for an individual tree).)', 'thin(<= 2 mm.)', 'moderate(2-15 mm.)', 'thick(> 15 mm.)']"
"Average height¬†(Height, V).",Ecological Flora,"['(Maximum height (m), excluding extremes and reproductive shoots.)']"
"Average leaf area¬†(LeafArea, V).",Ecological Flora,"['(Average one-sided projected surface area (mm2) of an individual leaf (or phyllodes)40. For compound leaves, leaflets area √ó leaflets number. For species with different stem and basal leaves, it refers to stem leaves.)', 'very small(small needle-like, scale-like, and linear leaves (typically less than 25 mm2).)', 'small(large linear leaves or small broad leaves (typically 25-225 mm2).)', 'medium(moderate broad leaves or divided leaves with moderate leaflets (typically 225-2025 mm2).)', 'large(large broad leaves, or divided leaves with numerous and large broad leaflets (typically 2025-4550 mm2).)', 'very large:(very large broad leaves, usually divided (typically more than 4550 mm2).)']"
"Average leaf lifespan¬†(LeafLifespan, V).",Ecological Flora,['Average time period (months) during which an individual leaf (or phyllodes) of a woody species is alive and physiologically active40 (= leaf longevity). For woody species only.(Average time period (months) during which an individual leaf (or phyllodes) of a woody species is alive and physiologically active40 (= leaf longevity). For woody species only.)']
"Average specific leaf area¬†(SLA, V).",Ecological Flora,"['Average one-sided area of the fresh leaf (or phyllodes) divided by its oven-dry mass40,42, excluding petiole and/or rachis; for mature plants only. Units are mm2 mg-1 (note that mm2 mg-1 √ó 10 = cm2 g-1).(Average one-sided area of the fresh leaf (or phyllodes) divided by its oven-dry mass40,42, excluding petiole and/or rachis; for mature plants only. Units are mm2 mg-1 (note that mm2 mg-1 √ó 10 = cm2 g-1).)']"
"Basic leaf shape¬†(LeafShape, F).",Ecological Flora,"['(Shape of leaves, phyllodes or leaflets for compound leaves. For species with different stem and basal leaves, it refers to stem leaves.)', 'none(without leaves or any functional analogue organ. If leaves are modified as spines, then LeafShape=spines (see below).)', 'broad(plant with broad leaves (for compound leaves, this refers to leaflets).)', 'needle-like(plant with needle-like leaves.)', 'linear(plant with linear leaves (for compound leaves, this refers to leaflets).)', 'scale-like(plant with scale-like leaves.)', 'spines(leaves are modified as spines (which is different from having spines or thorns in the branches).)', 'succulent(plant with succulent (water-stored, thick and fleshy) leaves.)']"
"Basic seed shape¬†(SeedShape, V).",Ecological Flora,"['(Ratio between the two maximum diameters: first maximum divided by the second maximum, excluding structures attached to the seed coat as wings or pappus.)', 'regular(close to 1 (spherical or lens-shaped seeds).)', 'irregular(far to 1 (elongated seeds).)']"
Biome,Ecological Flora,"['0(Mediterranean (native range of some aliens))', '1(Arctic Montane ( main distribution in tundra or above treeline in temperate mountains)', '2(Boreo-Arctic Montane (in tundra and coniferous forest zones))', '3(Wide Boreal ( from temperate zone to tundra))', '4(Boreal montane (main distribution in coniferous forest zone))', '5(Boreo-Temperate (in conifer and broadleaf zones))', '6(Wide Temperate (from Mediterranean region to coniferous forest zone))', '7(Temperate (in broadleaf forest zone))', '8(Southern Temperate (in Mediterranean Region and Broadleaf forest zones))', '9(Mediterranean-Atlantic( in Mediterranean region and extending north in Atlantic zone of temperate Europe)', '']"
British Distribution (all records),Ecological Flora,['value ( no. of 10k squares)']
British Distribution (post-1949 records),Ecological Flora,['value ( no. of 10k squares)']
"Bud source¬†(BudSource, V).",Ecological Flora,"['(Location of the bud bank for resprouting species44)', 'epicormic buds(stem buds (protected by the bark).)', 'apex(buds in the stem apex protected from fire by leaf bases)', 'root crown(transition point between stem and root.)', 'lignotuber(woody swelling below or just above the soil, ontogenetically programmed (i.e., inherited character). Based on embryological and/or anatomical features.)', 'thickened root-crown(woody swelling below or just above the soil non-ontogenetically programmed (e.g. stem coalescence).)', 'burl(woody swelling below or just above the soil with the unspecified origin (no distinction between lignotuber and burl is reported).)', 'rhizomes(belowground horizontal stem (non-swollen).)', 'woody rhizomes(woody belowground horizontal stem.)', 'non-woody rhizomes(non-woody belowground horizontal stem - roots - rhizomes or roots: rhizomes and/or roots (unspecified).)', 'storage organs(non-woody storage organs, i.e., modified stems (bulbs, corms or stem tubers) or roots (root tubers).)', 'others(other bud sources, including those not clearly specified (e.g. stump).)']"
"Canopy seed bank longevity¬†(CanopySeedBank, V).",Ecological Flora,"['(Presence and longevity of the stored seeds in the canopy.)', 'yes(seeds stored in the canopy is present (no information on longevity).)', 'no(no stored seeds in the canopy.)', 'short(2 - 3 years)', 'mid(4 - 10 yr)', 'long(>10 yr)']"
Carnivory,Ecological Flora,"['leaves', 'traps', 'kills insects but not carnivorous', 'does not kill insects']"
Carpel/style number,Ecological Flora,['value ?']
Change Index,Ecological Flora,['(- 4.57) - (+4.7)((Telfer et al 2002) Measures the relative magnitude of change comparing the periods 1930-1960 with 1987-1999)']
"Chemical germination cues¬†(ChemCues, V).",Ecological Flora,"['(Germinative response to smoke (smk), ash (ash), charcoal (cha), nitrogenous compounds like KNO3 (NC1), NaNO2 (NC2), NH4Cl (NC3), NH4HOC3 (NC4), NH4NO3 (NC5), or response to karrikins (KAR), cyanohydrins (CYN, including several cyanides, mandelonitrile, and glyceronitrile). The response in indicated before the vertical bar, and the chemical cue tested, after the vertical bar (e.g. stimulation|smk).)', 'stimulation(|germination of the treated seeds higher than the control.)', 'unaffected(germination of treated seeds equal than the control.)', 'inhibition(germination of the treated seeds lower than the control.)']"
Chromosome number,Ecological Flora,['value']
Cleistogamy,Ecological Flora,"['entirely cleistogamous', 'usually cleistogamous', 'some cleistogamous flowers', 'sometimes cleistogamous', 'pseudocleistogamous', 'cleistogamy not recorded']"
Clonality,Ecological Flora,"['C1(C1: the normal state.)', 'C2(C2:the less frequent state.)', '0(Little or no vegetative spread)', '0gr(Tussock forming graminoid, may slowly spread)', '0tb(Tuberous or bulbous slowly cloning by offsets)', 'Dra(Detaching ramets above ground, often axillary)', 'Drg(Detaching ramets at or below ground)', 'Dri(Detaching ramets on inflorescence)', 'Drl(Detaching ramets on leaves (Hammarbya))', 'Drp(Detaching ramets on prothallus (Trichomanes))', 'Frag(Fragmenting as part of normal growth)', 'Irreg(Irregularly fragmenting (mainly water plants))', 'Leaf(Plantlets forming on leaves (Cardamine pratensis))', 'Node1(Shortly creeping and rooting at nodes)', 'Node2(Extensively creeping and rooting at nodes)', 'Rhiz1(Rhizome shortly creeping)', 'Rhiz2(Rhizome far creeping)', 'Root(Clones formed by suckering from roots)', 'Stol1(Shortly creeping stolons in illuminated medium)', 'Stol2(Far creeping stolons in illuminated medium)', 'Tip(Tip rooting (stems often turn downwards))']"
"Clonality¬†(Clonality, V).",Ecological Flora,"['(Ability to colonize the space through vegetative reproduction.)', 'rhizomes(non-swollen belowground horizontal stem that grows near the soil surface with the ability to produce roots and stems. Rhizomes s.l., i.e., including woody and non-woody rhizomes.)', 'roots(roots normally growing close to the soil surface.)', 'rhizomes or roots(rhizomes and/or roots (not differentiated).)', 'storage organ(non-woody storage organs, normally modified stems (bulbs, corms or stem tubers) or roots (root tubers).)', 'stolons(aboveground horizontal stems.)', 'yes(clonal plant with unknown system.)', 'no(without clonality ability.)']"
"Coarse:fine fuel¬†(CFFuel, V).",Ecological Flora,"['(Coarse to fine fuel biomass ratio (i.e., >= 6 mm diameter and < 6 mm diameter, respectively), including live and dead material.)', 'low(without coarse fuel; all fuel is fine.)', 'moderate(abundant fine fuel and low coarse fuel.)', 'high(abundant fine fuel and abundant coarse fuel.)', 'very high(scarce fine fuel and abundant coarse fuel.)']"
Conservation Status,Ecological Flora,"['vu(Vulnerable)', 'ew(extinct in the wild)', 'en(Endangered)', 'cr(Critically endangered)', 'ex(Extinct)', '(Alien taxa)']"
Continentality in Europe,Ecological Flora,['c(Continental: rare in the Atlantic zone but commoner further east)']
Continents where introduced,Ecological Flora,"['Europe', 'Africa', 'Macaronesia', 'Asia', 'North America', 'Australasia']"
Continents where native,Ecological Flora,"['Europe', 'Africa', 'Macaronesia', 'Asia', 'North America', 'Australasia']"
"Dead fine fuel¬†(DeadFuel, V).",Ecological Flora,"['(Standing fine (< 6 mm diameter) dead biomass (including twigs, leaves, inflorescences, bark) attached to the plant during the dry season expressed in proportion of the aboveground biomass (for non-senescent individuals) (%).)', 'low(<= 5 %)', 'medium(5-20 %)', 'high(>=20 %)']"
"Diaspore¬†(Diaspore, F).",Ecological Flora,"['(Dispersal unit for sexual reproduction.)', 'seed(including some single-seeded fruits such as achenes or caryopsis.)', 'fruit(single or aggregated fruit.)', 'spore(spore)']"
Dichogamy,Ecological Flora,"['entirely protandrous', 'protandrous', 'markedly protandrous', 'wealky protandrous', 'homogamous', 'wealky protogynous', 'markedly protogynous', 'protogynous', 'entirely protogynous']"
Dicliny,Ecological Flora,"['hermaphrodite', 'andromonoecious', 'monoecious', 'gynomonoecious', 'dioecious', 'androdioecious', 'gynodioecious', 'subandroecious', 'subgynoecious', 'subdioecious', 'trioecious', 'polygamous', 'gynoandromonoecious']"
Dispersal agent,Ecological Flora,"['unspecialised', 'water', 'rainwash', 'wind', 'carried by mammals', 'carried by birds', 'ants', 'eaten by mammals', 'eaten by birds', 'explosive mechanism', 'man']"
"Dispersal mode¬†(DispMode, F).",Ecological Flora,"['(The vector(s) used for dispersal (of seeds or any other dispersal unit for sexual reproduction). One or several types, e.g.: GW means that both Gravity and Wind are important); if several, typically the first is the most important.)', 'G(autochory, by Gravity (= unassisted dispersal).)', 'W(anemochory, by Wind (with wind dispersal adaptations).)', 'H(Hydrochory, by water.)', 'B(Ballistichory, by launching (= ballochory).)', 'M(Myrmecochory, by ants.)', 'N(eNdozoochory, internal animal transport.)', 'P(ePizoochory, external animal transport (= exozoochory).)', 'O(hOarding, scatter and hoarding diaspores by animals (others than ants).)', 'Z(Zoochory, dispersal mediated by animals (unknown transport system).)']"
Dispersule size- length of longest axis,Ecological Flora,['value (mm)']
Drought Tolerance,Ecological Flora,"['value 0-5(Low (0) to high (5) -Niinements & Validarez, Ecological Monographs 76:521‚Äì547)']"
Dynamics,Ecological Flora,"['increasing', 'stable', 'declining']"
EW index,Ecological Flora,"['value (0-10)(Derived as above with each region weighted according to how far)', '(west it is. 0 - east, 10 west)']"
Eastern Limit,Ecological Flora,"['0(Hyperoceanic : with a western distribution in the Atlantic Zone)', '1(Oceanic : in Atlantic zone of Europe, not or scarcely reaching east to Sweden, Germany or South Spain)', '2(Suboceanic : extending to Sweden, Central Europe or Italy)', '3(European :extending to more continental parts of Europe but not to Siberia)', '4(Euro-Siberian : eastern limit between 60 and 120 E)', '5(Eurasian: extending across Asia to east of 120E)', '6(Circumpolar : in Europe, Asia and North America)']"
Ellenberg Indicator: Light,Ecological Flora,['(Hill et al. (1999))']
Ellenberg Indicator: Moisture,Ecological Flora,['(Hill et al. (1999))']
Ellenberg Indicator: Nitrogen,Ecological Flora,['(Hill et al. (1999))']
Ellenberg Indicator: Salt,Ecological Flora,['(Hill et al. (1999))']
Ellenberg Indicator: pH,Ecological Flora,['(Hill et al. (1999))']
Exposure,Ecological Flora,"['exposed', 'indifferent', 'sheltered']"
F : Moisture¬†(from the German Feuchtigkeit),Ecological Flora,"['1(Indicator of extreme dryness, restricted to soils that often dry out for some time (Corynephorus canescens, Helianthemum apenninum, Koeleria vallesiana).)', '2(Between 1 and 3 (Clinopodium acinos, Saxifraga tridactylites, Sedum acre).)', '3(Dry-site indicator, more often found on dry ground than in moist places (Asplenium trichomanes, Centaurea scabiosa, Spergularia rubra).)', '4(Between 3 and 5 (Arctium minus, Helictotrichon pratense, Iris foetidissima, Thymus polytrichus).)', '5(Moist-site indicator, mainly on fresh soils of average dampness (Anthriscus sylvestris, Euphorbia amygdaloides, Hyacinthoides nonscripta, Solanum nigrum).)', '6(Between 5 and 7 (Agrostis stolonifera, Empetrum nigrum, Rumex crispus).)', '7(Dampness indicator, mainly on constantly moist or damp, but not on wet soils (Carex ovalis, Dactylorhiza maculata, Pulicaria dysenterica, Ranunculus repens).)', '8(Between 7 and 9 (Cardamine pratensis, Equisetum telmateia, Phalaris arundinacea, Schoenus nigricans).)', '9(Wet-site indicator, often on watersaturated, badly aerated soils (Drosera rotundifolia, Myosotis scorpioides, Vaccinium oxycoccus, Viola palustris).)', '10(Indicator of shallow-water sites that may lack standing water for extensive periods (Alisma plantago-aquatica, Carex limosa, Ranunculus lingua, Typha latifolia).)', '11(Plant rooting under water, but at least for a time exposed above, or plant floating on the surface (Lemna minor, Nuphar lutea, Sagittaria sagittifolia, Schoenoplectus lacustris).)', '12(Submerged plant, permanently or almost constantly under water (Isoetes lacustris, Potamogeton crispus, Ranunculus circinatus, Zostera marina).)']"
Fertilisation,Ecological Flora,"['Obligatory cross', 'normally cross', 'cross and self', 'cross or automatic self', 'normally self', 'viviparous', 'apomictic', 'no seed in Britain']"
Fine root diameter (¬µm),Ecological Flora,"['<100(diameter of terminal roots)', '100-150', '150-200', '200-300', '300-500', '500-1000', '>1000']"
"Fire-stimulated flowering¬†(FireStimFlower, V)",Ecological Flora,"['(Fire-stimulated flowering in post-fire resprouters.)', 'no(lower or similar flowering post-fire than in unburned vegetation.)', 'yes(higher flowering post-fire than in unburned vegetation (includes facultative and obligate post-fire flowering); these are mostly geophytes.)']"
First historical record:1. Date,Ecological Flora,['value']
First historical record:1. Site,Ecological Flora,['value - place name']
Flow,Ecological Flora,"['nil(Aquatic species)', 'slight', 'mid', 'rapid']"
"Flower Colour ( primary, with additional colours)",Ecological Flora,['description']
Flowering time:1 earliest month,Ecological Flora,['value (month)']
Flowering time:2 latest month,Ecological Flora,['value (month)']
Flowering time:3 peak month,Ecological Flora,['value (month)']
Fossil record : Earliest postglacial record,Ecological Flora,['value(not available)']
Fossil record : Earliest record,Ecological Flora,['value(not available)']
Fossil record : postglacial frequency,Ecological Flora,['value(not available)']
"Fruit dry mass¬†(FruitMass, V).",Ecological Flora,"['(Average dry mass (mg) of single or aggregated fruits (excluding some single-seeded fruits such as achenes or caryopsis, that are typically considered as ""seeds""))', 'very light(< 3 mg)', 'light(3-30 mg)', 'medium(30-300 mg)', 'heavy(300-3000 mg)', 'very heavy(> 3000 mg)']"
"Fruit type¬†(FruitType, F).",Ecological Flora,"['(Type of the fruit. Including single or aggregated fruits (dispersal unit).)', 'dry(dry fruit.)', 'fleshy(fleshy fruit, including fruit in which the fleshy part is the floral cup (hypanthium) (e.g. Rosa))']"
Germination requirements: 2. Light,Ecological Flora,"['', 'Partial(See chilling for definition of partial)', 'Absolute']"
Germination requirements: 3. Temperature fluctuation,Ecological Flora,"['none', 'partial(See chilling for definition of partial)', 'absolute']"
Germination requirements:1. Chilling,Ecological Flora,"['', 'Partial(Chilling increases germination % or required in the absence of other factors, or by some but not all seeds)', 'Absolute']"
Germination type,Ecological Flora,"['hypogeal', 'epigeal']"
"Heat-stimulated germination¬†(HeatStimGerm, V).",Ecological Flora,"['(The highest intensity in heat treatments (i.e., seed exposition to dry heat >= 50¬∞C) that produce higher germination than the control (i.e., stimulated germination). Heat intensity defined as: Low (L: < 100¬∞C during <=5 min.), Moderate (M: < 100¬∞C during >5 min. or >= 100¬∞C during <= 5 min.), High (H: >= 100¬∞C during > 5 min.) or unknown (unk). Note that in many cases, post-treatment seed viability is not considered or not specified. The heat intensities tested for each experiment are indicated after the vertical bar (category|LMH), with an underscore when the corresponding heat intensity is not tested (e.g., category|L_H).)', 'yes|unspecified(stimulated germination is produced after unspecified heat intensity exposure.)', 'high(LMH)(stimulated germination after exposure to High-intensity treatments.)', 'moderate(LMH)(the highest heat intensity that produces stimulated germination is Moderate)', 'low(LMH)(the highest heat intensity that produces stimulated germination is Low)', 'unaffected(LMHU)(germination is not stimulated after any heat intensity tested and at least one of the treatments does not affect seed germination)', 'inhibition(LMHU)(inhibited germination (i.e., lower germination than control) in all heat treatments tested)']"
Heavy metal resistance,Ecological Flora,"['none', 'pseudometallophyte', 'local metallophyte', 'absolute metallophyte']"
Height: 1 extreme maximum,Ecological Flora,['value (cm)']
Height: 1 extreme minimum,Ecological Flora,['value (cm)']
Height: 1 typical maximum,Ecological Flora,['value (cm)']
Height: 1 typical minimum,Ecological Flora,['value (cm)']
Heteromorphy,Ecological Flora,"['homomorphic', 'dimorphic', 'trimorphic']"
Heterophylly,Ecological Flora,"['not appliccable(leafless species)', 'none', 'developmental(individuals have >1 leaph morphology irrespective of growth conditions)', 'environmental(heterophylly induced by environmentl factors)']"
Inbreeding,Ecological Flora,['value (%)']
